ID,SiteFK,UserFK,ObservationMethod
500,2,879,"Beat sheet"
501,2,874,Visual
502,2,877,Visual
519,95,861,Visual
503,2,886,Visual
504,2,818,Visual
505,97,883,"Beat sheet"
523,104,908,"Beat sheet"
507,96,902,Visual
508,96,894,Visual
509,96,899,Visual
510,96,898,Visual
511,96,852,Visual
512,96,897,Visual
513,96,893,Visual
514,96,890,Visual
515,96,901,Visual
516,96,903,Visual
517,96,895,Visual
518,101,869,"Beat sheet"
542,104,892,"Beat sheet"
536,101,914,"Beat sheet"
520,96,851,Visual
521,99,81,"Beat sheet"
522,106,870,"Beat sheet"
534,101,866,"Beat sheet"
524,76,867,"Beat sheet"
525,105,896,Visual
526,105,899,Visual
527,105,894,Visual
528,104,905,"Beat sheet"
529,104,904,"Beat sheet"
530,104,906,"Beat sheet"
531,90,909,"Beat sheet"
532,68,910,Visual
535,76,887,"Beat sheet"
1158,162,2126,Visual
540,89,920,Visual
537,101,918,"Beat sheet"
538,101,915,"Beat sheet"
539,101,916,"Beat sheet"
541,105,903,Visual
1166,78,2158,"Beat sheet"
550,66,620,Visual
543,50,56,Visual
545,66,925,Visual
546,66,64,Visual
547,101,917,"Beat sheet"
548,59,74,"Beat sheet"
1157,162,1309,Visual
549,66,921,Visual
647,68,1177,Visual
648,68,1149,Visual
649,107,864,"Beat sheet"
651,68,1186,Visual
652,68,1187,Visual
653,52,57,Visual
654,68,1189,Visual
655,68,1180,"Beat sheet"
656,68,1190,Visual
657,68,1134,Visual
658,68,1096,Visual
659,68,1111,Visual
660,2,1198,"Beat sheet"
661,2,1195,Visual
662,68,1132,Visual
663,68,1129,Visual
664,68,1137,Visual
665,2,1214,"Beat sheet"
666,2,1205,Visual
667,2,63,Visual
668,2,1215,"Beat sheet"
669,71,414,Visual
670,72,414,Visual
671,70,414,Visual
673,2,1263,Visual
674,52,25,Visual
675,40,40,"Beat sheet"
676,2,1281,"Beat sheet"
677,89,1336,"Beat sheet"
678,2,1350,Visual
679,2,1384,Visual
680,2,1434,Visual
681,2,1419,Visual
682,2,1401,Visual
683,2,1400,Visual
684,2,1477,Visual
685,2,1415,Visual
686,2,1357,Visual
687,2,1421,Visual
688,2,1376,Visual
689,2,1405,Visual
690,2,1378,Visual
691,2,1385,Visual
692,2,1391,Visual
693,2,1422,Visual
694,2,819,Visual
695,2,1459,Visual
696,2,1491,Visual
697,2,1454,Visual
698,2,1532,Visual
699,2,1363,Visual
700,2,1407,Visual
701,2,1446,Visual
702,2,1503,Visual
703,2,1443,Visual
704,2,1466,Visual
705,2,1497,Visual
706,2,1433,Visual
707,2,1356,Visual
708,2,1500,Visual
709,158,1281,"Beat sheet"
710,158,1675,"Beat sheet"
711,67,80,"Beat sheet"
712,68,1727,Visual
713,68,1757,Visual
714,60,1781,Visual
715,60,1782,Visual
716,60,1785,Visual
717,60,1645,Visual
718,60,1659,Visual
719,60,1339,Visual
720,60,1791,Visual
721,60,1630,Visual
722,60,1378,Visual
723,60,1386,Visual
724,60,1493,Visual
725,60,1617,Visual
726,2,1395,Visual
727,60,1670,Visual
728,60,1794,Visual
729,60,1790,Visual
730,60,1795,Visual
731,60,1540,Visual
732,60,1490,Visual
733,60,1396,Visual
734,60,1547,Visual
735,60,1368,Visual
736,60,1629,Visual
737,60,1641,Visual
738,60,1316,Visual
739,60,1797,Visual
740,60,1643,"Beat sheet"
741,60,1798,Visual
742,60,1799,Visual
743,60,1352,Visual
744,60,1805,Visual
745,60,1457,Visual
746,60,1806,Visual
747,60,1627,Visual
748,60,1808,Visual
749,60,1634,Visual
750,60,1582,Visual
751,60,1601,Visual
752,60,1807,Visual
753,60,1809,Visual
754,60,1813,Visual
755,60,1812,Visual
756,60,1374,Visual
757,60,1657,Visual
758,60,1814,Visual
759,60,1541,Visual
760,60,1823,Visual
761,60,1598,Visual
762,60,1824,Visual
763,60,1825,Visual
764,60,1575,Visual
765,60,1827,Visual
766,60,1831,Visual
767,60,1646,Visual
768,60,1647,Visual
769,60,1834,Visual
770,60,1833,Visual
771,60,1841,Visual
772,60,1829,Visual
773,60,1838,Visual
774,60,1839,Visual
775,60,1843,Visual
776,60,1353,Visual
777,60,1842,Visual
778,60,1844,Visual
779,60,1847,Visual
780,60,1427,Visual
781,60,1845,Visual
782,60,1851,Visual
783,60,1410,"Beat sheet"
784,60,1357,Visual
785,60,1458,Visual
786,60,1854,Visual
787,60,1855,Visual
788,60,1460,Visual
789,60,1602,Visual
790,60,1804,Visual
791,60,1857,Visual
792,60,1859,Visual
793,60,1860,Visual
794,60,1850,Visual
795,60,1861,Visual
796,60,1858,Visual
797,60,1621,Visual
798,60,1667,Visual
799,60,1863,Visual
800,60,1514,Visual
801,60,1404,Visual
802,60,1856,Visual
803,60,1519,Visual
804,60,1620,Visual
805,60,1862,Visual
806,60,1774,Visual
807,60,1426,Visual
808,60,1608,Visual
809,60,1420,"Beat sheet"
810,60,1448,Visual
811,60,1405,Visual
812,60,1499,Visual
813,60,1467,Visual
814,60,1417,Visual
815,60,1848,Visual
816,60,1561,Visual
817,60,1866,Visual
818,60,1552,Visual
819,60,1530,Visual
820,60,1360,Visual
821,60,1505,Visual
822,60,1370,"Beat sheet"
823,60,1533,Visual
824,60,1465,Visual
825,60,1495,Visual
826,60,1871,Visual
827,60,1638,Visual
828,60,1639,Visual
829,60,1529,Visual
830,60,1636,Visual
831,60,1626,Visual
832,60,1483,Visual
833,60,1640,Visual
834,60,1635,Visual
835,60,1852,Visual
836,60,1631,Visual
837,60,1875,Visual
838,60,1401,Visual
839,60,1464,Visual
840,60,1837,Visual
841,60,1556,Visual
842,60,1361,Visual
843,60,1406,Visual
844,60,1868,Visual
845,60,1588,Visual
846,60,1589,Visual
847,60,1591,Visual
848,60,1597,Visual
849,60,1867,Visual
850,60,1664,Visual
851,60,1874,"Beat sheet"
852,60,1655,Visual
853,60,1576,Visual
854,60,1878,Visual
855,60,1580,Visual
856,60,1521,Visual
857,60,1545,Visual
858,60,1407,Visual
859,60,1624,Visual
860,60,1354,Visual
861,60,1382,Visual
862,60,1879,Visual
863,60,1886,Visual
864,60,1817,Visual
865,60,1560,Visual
866,60,1476,Visual
867,60,1413,Visual
868,60,1550,Visual
869,60,1451,Visual
870,60,1402,Visual
871,60,1882,Visual
872,60,1880,"Beat sheet"
873,60,1881,Visual
874,60,1369,Visual
875,60,1826,Visual
876,60,1475,Visual
877,60,1503,Visual
878,60,1385,Visual
879,60,1876,Visual
880,60,1400,Visual
881,60,1470,Visual
882,60,1414,Visual
883,60,1421,Visual
884,60,1654,Visual
885,60,1887,Visual
886,60,1390,Visual
887,60,1431,Visual
888,60,1366,Visual
889,60,1509,Visual
890,60,1656,Visual
891,60,1418,Visual
892,60,1889,Visual
893,60,1846,Visual
894,60,1865,Visual
895,60,1898,Visual
896,60,1578,"Beat sheet"
897,60,1590,Visual
898,60,1628,Visual
899,68,1739,"Beat sheet"
900,68,1906,"Beat sheet"
901,68,1721,"Beat sheet"
902,68,1912,"Beat sheet"
903,68,1725,"Beat sheet"
904,68,1741,Visual
905,68,1910,"Beat sheet"
906,68,1746,Visual
908,68,1905,Visual
909,60,1428,Visual
910,60,1373,Visual
911,68,1904,"Beat sheet"
912,60,1455,Visual
913,60,1526,Visual
914,68,1712,Visual
915,60,1911,Visual
916,68,1718,"Beat sheet"
917,68,1732,"Beat sheet"
918,68,1723,"Beat sheet"
919,68,1733,"Beat sheet"
920,68,1763,Visual
921,68,1716,"Beat sheet"
922,68,1711,Visual
923,68,1751,Visual
924,68,1913,"Beat sheet"
925,68,1759,Visual
926,68,1749,Visual
927,68,1743,"Beat sheet"
928,68,1909,Visual
929,68,1914,"Beat sheet"
930,60,1415,Visual
931,68,1769,Visual
932,60,1416,Visual
933,60,1853,Visual
934,60,1915,Visual
935,60,1917,Visual
936,60,1600,Visual
937,60,1502,Visual
938,60,1494,Visual
939,60,1896,Visual
940,60,1919,Visual
941,60,1899,Visual
942,60,1429,Visual
943,60,1355,Visual
944,60,1399,Visual
945,60,1920,Visual
946,60,1471,Visual
947,60,1437,Visual
948,60,1438,Visual
949,60,1923,Visual
950,60,1613,Visual
951,60,1632,Visual
952,60,1890,Visual
953,60,1579,Visual
954,60,1554,Visual
955,60,1925,Visual
956,60,1894,Visual
957,60,1661,Visual
958,60,1930,Visual
959,60,1584,Visual
960,60,1538,Visual
961,60,1359,Visual
962,60,1931,Visual
963,60,1932,Visual
964,60,1446,Visual
965,60,1362,Visual
966,60,1419,Visual
967,60,1484,Visual
968,60,1924,Visual
969,60,1363,Visual
970,60,1376,Visual
971,60,1929,Visual
972,60,1500,Visual
973,60,1537,Visual
974,60,1936,Visual
975,60,1568,Visual
976,60,1935,Visual
977,60,1566,"Beat sheet"
978,60,1708,Visual
979,60,1506,Visual
980,60,1492,Visual
981,60,1937,Visual
982,60,1383,Visual
983,60,1934,Visual
984,60,1888,Visual
985,60,1581,Visual
986,60,1891,Visual
987,60,1941,Visual
988,60,25,Visual
989,60,1525,Visual
990,60,1592,Visual
991,60,1658,Visual
992,60,1652,Visual
993,60,1365,Visual
994,60,1950,Visual
995,60,1949,Visual
996,60,1340,Visual
997,60,1513,"Beat sheet"
998,60,1955,Visual
999,60,1951,Visual
1000,60,1616,Visual
1001,60,1603,Visual
1002,60,1412,Visual
1003,60,1434,Visual
1004,60,1485,Visual
1005,60,1671,Visual
1006,101,1958,"Beat sheet"
1007,60,1367,Visual
1008,60,1946,Visual
1009,60,1469,Visual
1010,60,1477,Visual
1011,60,1497,Visual
1012,60,1449,Visual
1013,60,1960,Visual
1014,60,1650,Visual
1015,60,1954,Visual
1016,60,1959,Visual
1017,60,1653,Visual
1018,60,1633,Visual
1019,60,1618,Visual
1020,60,1585,Visual
1021,60,1510,Visual
1022,60,1481,Visual
1023,60,1962,Visual
1024,60,1957,Visual
1025,60,1408,Visual
1026,60,1456,Visual
1027,60,1964,Visual
1028,60,1966,Visual
1029,60,1961,Visual
1030,60,1440,Visual
1031,60,1942,Visual
1032,60,1387,Visual
1033,60,1967,Visual
1034,60,1816,Visual
1035,60,1963,Visual
1036,60,1609,Visual
1037,60,1622,Visual
1038,60,1593,Visual
1039,60,1968,Visual
1040,60,1952,Visual
1041,60,1531,Visual
1042,60,1969,Visual
1043,60,1375,Visual
1044,60,1442,Visual
1045,60,1436,Visual
1046,60,1527,Visual
1047,60,1523,Visual
1048,60,1358,Visual
1049,60,1555,Visual
1050,60,1548,Visual
1051,60,1975,Visual
1052,60,1974,Visual
1053,60,1978,Visual
1054,60,1976,Visual
1055,60,1948,Visual
1056,60,1970,Visual
1057,60,1612,Visual
1058,60,1596,Visual
1059,60,1971,Visual
1060,60,1544,Visual
1061,60,1979,Visual
1062,60,1569,Visual
1063,60,1623,Visual
1064,60,1981,Visual
1065,60,1651,Visual
1066,60,1985,Visual
1067,60,1986,Visual
1068,60,1549,Visual
1069,88,696,"Beat sheet"
1070,60,1956,Visual
1071,60,1927,Visual
1072,60,1619,Visual
1073,60,1994,Visual
1074,60,1995,Visual
1075,60,1996,Visual
1076,60,1487,Visual
1077,60,1344,Visual
1078,60,1381,Visual
1079,60,1662,Visual
1080,60,1517,Visual
1081,60,2001,Visual
1082,60,1535,Visual
1083,60,1997,Visual
1084,60,2004,Visual
1085,60,1445,Visual
1086,60,1558,Visual
1087,60,1489,Visual
1088,60,2000,Visual
1089,60,1607,Visual
1090,60,1999,Visual
1091,60,1770,Visual
1092,60,1403,Visual
1093,60,2006,Visual
1094,60,2007,Visual
1095,167,696,"Beat sheet"
1096,60,2002,Visual
1097,60,2008,Visual
1098,160,1287,Visual
1099,60,1587,Visual
1100,60,2011,Visual
1101,60,1422,Visual
1102,60,1669,"Beat sheet"
1103,165,1295,Visual
1104,60,1928,Visual
1105,60,2012,Visual
1106,60,2013,Visual
1107,2,2015,Visual
1108,89,1337,"Beat sheet"
1109,89,1323,"Beat sheet"
1110,164,1295,Visual
1112,2,2020,Visual
1113,2,2024,Visual
1114,2,2023,Visual
1115,60,2020,"Beat sheet"
1116,60,2023,"Beat sheet"
1117,70,2027,Visual
1118,69,2027,Visual
1119,2,2021,Visual
1120,2,2028,Visual
1121,2,2025,Visual
1122,2,1309,Visual
1123,2,2034,Visual
1124,2,2032,Visual
1125,2,2036,Visual
1126,172,1796,"Beat sheet"
1127,163,1311,Visual
1128,179,1571,"Beat sheet"
1129,174,1977,Visual
1130,170,1295,Visual
1131,69,2041,Visual
1193,182,2139,"Beat sheet"
1132,166,1341,Visual
1133,2,2054,Visual
1134,71,2060,Visual
1135,2,2061,Visual
1136,78,2020,"Beat sheet"
1137,78,2023,"Beat sheet"
1143,166,2051,Visual
1138,77,2020,Visual
1139,77,2023,"Beat sheet"
1151,95,2049,Visual
1140,77,2024,"Beat sheet"
1141,60,2024,Visual
1146,54,2078,Visual
1145,78,2024,Visual
1142,166,2050,Visual
1144,2,2058,Visual
1148,78,2081,"Beat sheet"
1147,78,461,Visual
1225,93,831,Visual
1149,78,2080,"Beat sheet"
1150,78,2082,"Beat sheet"
1196,192,2066,Visual
1188,182,2149,"Beat sheet"
1152,188,2063,Visual
1153,56,2040,Visual
1154,95,2045,Visual
1155,173,1944,Visual
1472,221,2645,Visual
1156,2,85,Visual
1217,181,2184,"Beat sheet"
1159,71,2129,Visual
1160,167,1990,Visual
1163,191,2066,Visual
1161,171,1318,"Beat sheet"
1162,188,2059,Visual
1164,184,2124,Visual
1165,2,2158,Visual
1186,175,1299,Visual
1167,182,2138,"Beat sheet"
1168,182,2137,"Beat sheet"
1169,182,2140,"Beat sheet"
1170,193,2066,Visual
1171,182,2162,"Beat sheet"
1172,182,2160,"Beat sheet"
1173,182,2161,"Beat sheet"
1174,182,2143,"Beat sheet"
1175,182,2163,"Beat sheet"
1176,184,2107,Visual
1177,184,2111,Visual
1178,184,2131,Visual
1179,184,2087,"Beat sheet"
1180,184,2119,Visual
1181,184,2116,Visual
1182,184,2094,Visual
1183,184,2128,Visual
1184,184,2109,Visual
1185,194,2021,"Beat sheet"
1187,181,2169,"Beat sheet"
1189,182,2150,"Beat sheet"
1190,182,2153,"Beat sheet"
1191,182,2151,"Beat sheet"
1192,193,2170,Visual
1194,182,2136,"Beat sheet"
1195,192,2170,Visual
1247,191,2208,Visual
1197,184,2095,Visual
1198,184,2098,Visual
1199,2,2175,"Beat sheet"
1235,160,1288,Visual
1200,189,2073,Visual
1201,183,1574,"Beat sheet"
1202,183,2177,"Beat sheet"
1203,2,2178,Visual
1204,2,2179,Visual
1205,181,2178,"Beat sheet"
1206,181,2179,"Beat sheet"
1207,2,2176,Visual
1208,181,2176,"Beat sheet"
1209,97,2180,"Beat sheet"
1210,73,2183,"Beat sheet"
1211,95,2052,Visual
1212,73,2181,"Beat sheet"
1213,73,944,"Beat sheet"
1214,73,2182,"Beat sheet"
1215,95,2168,Visual
1216,106,2076,"Beat sheet"
1218,184,2115,Visual
1219,182,2142,"Beat sheet"
1220,183,2185,"Beat sheet"
1221,183,2186,"Beat sheet"
1229,182,2141,"Beat sheet"
1222,181,2187,"Beat sheet"
1223,183,2175,"Beat sheet"
1224,93,2173,Visual
1234,184,2117,Visual
1226,182,2154,"Beat sheet"
1227,182,2152,"Beat sheet"
1230,193,2195,Visual
1228,184,2190,Visual
1254,182,2233,"Beat sheet"
1231,193,2193,Visual
1232,193,2196,Visual
1233,93,2172,Visual
1262,196,2240,Visual
1236,93,2197,Visual
1270,160,2244,Visual
1237,191,2170,Visual
1249,182,2223,"Beat sheet"
1238,191,2193,Visual
1239,193,2202,Visual
1240,192,2193,Visual
1241,193,2208,Visual
1242,67,2210,"Beat sheet"
1243,67,2209,Visual
1244,67,2211,"Beat sheet"
1245,93,2171,Visual
1246,184,2122,Visual
1260,182,2237,Visual
1248,162,2191,Visual
1250,182,2220,"Beat sheet"
1251,182,2227,"Beat sheet"
1252,182,2224,"Beat sheet"
1253,184,2125,Visual
1255,182,2234,"Beat sheet"
1256,182,2235,"Beat sheet"
1257,162,2036,Visual
1258,52,2207,Visual
1259,51,2207,Visual
1261,191,2196,Visual
1263,192,2196,Visual
1264,162,2241,Visual
1265,161,1298,Visual
1266,196,2243,Visual
1267,196,2246,Visual
1268,192,2208,"Beat sheet"
1269,196,2066,Visual
1271,68,2272,"Beat sheet"
1272,182,2321,"Beat sheet"
1273,182,2320,"Beat sheet"
1274,182,2319,"Beat sheet"
1275,182,2322,"Beat sheet"
1276,182,2323,"Beat sheet"
1277,182,2316,"Beat sheet"
1278,182,2332,"Beat sheet"
1279,182,2331,"Beat sheet"
1280,182,2328,"Beat sheet"
1281,182,2325,"Beat sheet"
1282,182,2341,"Beat sheet"
1283,182,2324,"Beat sheet"
1284,182,2294,"Beat sheet"
1285,182,2290,"Beat sheet"
1286,182,2298,"Beat sheet"
1287,182,2334,"Beat sheet"
1288,182,2304,Visual
1289,182,2307,"Beat sheet"
1290,182,2303,"Beat sheet"
1291,182,2306,"Beat sheet"
1292,182,2313,Visual
1293,182,2302,"Beat sheet"
1294,182,2375,"Beat sheet"
1295,182,2376,"Beat sheet"
